﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
RyeDoughSourRaw_SpecialDurability2.CardStatName,Quality,クオリティ
RyeDoughSourRaw_SpecialDurability3.CardStatName,Yeast,酵母
RyeDoughSourRaw_CardInteractions[0].ActionName,Transfer Yeast,酵母を移す
RyeDoughSourRaw_DismantleActions[0].ActionName,Knead
SpringberriesFermenting_CardHelpSection,"<b>Found:</b> Oak Areas during Spring. \n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, High Nutrients.\n\n<b>Benefits:</b> Edible."
SpringberriesFresh_CardHelpSection,"<b>Found:</b> Oak Areas during Spring. \n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, High Nutrients.\n\n<b>Benefits:</b> Edible."
BillberriesDried_CardHelpSection,"<b>Found:</b> Pine Areas during Summer. \n\n<b>Growth Needs:</b> High Acidity, High Hydration, Low Nutrients.\n\n<b>Benefits:</b> Edible."
BillberriesFermented_CardHelpSection,"<b>Found:</b> Pine Areas during Summer. \n\n<b>Growth Needs:</b> High Acidity, High Hydration, Low Nutrients.\n\n<b>Benefits:</b> Edible."
BillberriesRoasted_CardHelpSection,"<b>Found:</b> Pine Areas during Summer. \n\n<b>Growth Needs:</b> High Acidity, High Hydration, Low Nutrients.\n\n<b>Benefits:</b> Edible."
FairyweedDried_CardInteractions[1].ActionName,Grind,磨り潰す
FirerootDried_CardInteractions[1].ActionName*,Grind,磨り潰す
FlyAgaricDried_CardInteractions[1].ActionName*,Grind,磨り潰す
FrostleafDried_CardInteractions[1].ActionName,Grind,磨り潰す
HeatherFlowersDried_CardInteractions[1].ActionName*,Grind,磨り潰す
RyeBreadLoaf_CardName,Rye Breadloaf
RyeBreadLoaf_CardDescription,"A large loaf of bread that can be split into multiple pieces.\n\nKeeps longer if left whole."
RyeBreadLoaf_SpoilageTime.CardStatName,Spoilage,腐敗
RyeBreadLoaf_SpoilageTime.OnFull.ActionDescription,Bread Loaf Spoiled!
RyeBreadLoaf_FuelCapacity.CardStatName,Temperature,温度
RyeBreadLoaf_SpecialDurability1.CardStatName,Burned,焦げた
RyeBreadLoaf_SpecialDurability2.CardStatName,Quality,クオリティ
RyeBreadLoaf_SpecialDurability3.CardStatName,Yeast,酵母
RyeBreadLoaf_CardInteractions[0].ActionName,Cut,切る
RyeBreadLoaf_OnStatsChangeActions[0].ActionName,Adjust Quality (Yeast 10%-20% + = Quality +10%)
RyeBreadLoaf_OnStatsChangeActions[1].ActionName,Adjust Quality (Yeast 20%-30% = Quality +25%)
RyeBreadLoaf_OnStatsChangeActions[2].ActionName,Adjust Quality (Yeast 30%+ = Quality -25%)
RyeBreadLoafRaw_CardName,Raw Rye Breadloaf
RyeBreadLoafRaw_CardDescription,Best if baked in an oven.
RyeBreadLoafRaw_SpoilageTime.CardStatName,Spoilage,腐敗
RyeBreadLoafRaw_SpoilageTime.OnFull.ActionDescription,Bread Loaf Spoiled!
RyeBreadLoafRaw_FuelCapacity.CardStatName,Temperature,温度
RyeBreadLoafRaw_SpecialDurability1.CardStatName,Cook,料理する
RyeBreadLoafRaw_SpecialDurability2.CardStatName,Quality,クオリティ
RyeBreadLoafRaw_SpecialDurability3.CardStatName,Yeast,酵母
RyeBreadSlice_CardName,Rye Bread Slice
RyeBreadSlice_CardDescription,Good source of calories. Can also be used as a plate.
RyeBreadSlice_SpoilageTime.CardStatName,Spoilage,腐敗
RyeBreadSlice_SpoilageTime.OnFull.ActionDescription,Bread Slice Spoiled!
RyeBreadSlice_FuelCapacity.CardStatName,Temperature,温度
RyeBreadSlice_SpecialDurability1.CardStatName,Burned,焦げた
RyeBreadSlice_SpecialDurability2.CardStatName,Quality,クオリティ
RyeBreadSlice_DismantleActions[0].ActionName,Eat,食べる
RyeBreadSlice_GroupInventoryActions[0].ActionName,Eat All,全部食べる
RyeRoundBread_CardName,Rye Roundbread
RyeRoundBread_CardDescription,Good source of calories.,カロリーが豊富。
RyeRoundBread_SpoilageTime.CardStatName,Spoilage,腐敗
RyeRoundBread_SpoilageTime.OnFull.ActionDescription,Flatbread Spoiled!,フラットブレッドが腐った！
RyeRoundBread_FuelCapacity.CardStatName,Temperature,温度
RyeRoundBread_SpecialDurability1.CardStatName,Burned,焦げた
RyeRoundBread_SpecialDurability2.CardStatName,Quality,クオリティ
RyeRoundBread_SpecialDurability3.CardStatName,Yeast,酵母
RyeRoundBread_OnStatsChangeActions[0].ActionName,Adjust Quality (Yeast 10%-20% + = Quality +10%)
RyeRoundBread_OnStatsChangeActions[1].ActionName,Adjust Quality (Yeast 20%-30% = Quality +25%)
RyeRoundBread_OnStatsChangeActions[2].ActionName,Adjust Quality (Yeast 30%+ = Quality -25%)
RyeRoundBread_DismantleActions[0].ActionName,Eat,食べる
RyeRyeCake_CardName,Rye Cake,ライ麦のケーキ
RyeRyeCake_CardDescription,Good source of calories.,カロリーが豊富。
RyeRyeCake_SpoilageTime.CardStatName,Spoilage,腐敗
RyeRyeCake_SpoilageTime.OnFull.ActionDescription,Flatbread Spoiled!,フラットブレッドが腐った！
RyeRyeCake_FuelCapacity.CardStatName,Temperature,温度
RyeRyeCake_SpecialDurability1.CardStatName,Burned,焦げた
RyeRyeCake_SpecialDurability2.CardStatName,Quality,クオリティ
RyeRyeCake_DismantleActions[0].ActionName,Eat,食べる
RyeRyeEggbread_CardName,Rye Eggbread,ライ麦の卵パン
RyeRyeEggbread_CardDescription,Good source of calories.,カロリーが豊富。
RyeRyeEggbread_SpoilageTime.CardStatName,Spoilage,腐敗
RyeRyeEggbread_SpoilageTime.OnFull.ActionDescription,Flatbread Spoiled!,フラットブレッドが腐った！
RyeRyeEggbread_FuelCapacity.CardStatName,Temperature,温度
RyeRyeEggbread_SpecialDurability1.CardStatName,Burned,焦げた
RyeRyeEggbread_SpecialDurability2.CardStatName,Quality,クオリティ
RyeRyeEggbread_DismantleActions[0].ActionName,Eat,食べる
SpiritMushroomsDried_CardInteractions[1].ActionName,Grind,磨り潰す
SpringberriesDried_CardHelpSection,"<b>Found:</b> Oak Areas during Spring. \n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, High Nutrients.\n\n<b>Benefits:</b> Edible."
SpringberriesFermented_CardHelpSection,"<b>Found:</b> Oak Areas during Spring. \n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, High Nutrients.\n\n<b>Benefits:</b> Edible."
SpringberriesRoasted_CardHelpSection,"<b>Found:</b> Oak Areas during Spring. \n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, High Nutrients.\n\n<b>Benefits:</b> Edible."
WildGarlicDried_CardInteractions[0].ActionName,Grind,磨り潰す
WillowBarkDried_CardInteractions[1].ActionName,Grind,磨り潰す
Feathers_FuelCapacity.OnFull.ActionDescription,Tinder Lit!
Feathers_CardInteractions[1].ActionName*,Light with Iron Striker
Flint_CardInteractions[0].ActionName,Combine,組み合わせる
IronStriker_CardName,Iron Striker
IronStrikerWithFlint_CardName,Iron Striker
IronStrikerWithFlint_SpecialDurability2.CardStatName,Quality,クオリティ
IronStrikerWithFlint_DismantleActions[0].ActionName,Take out Flint
LeavesDry_FuelCapacity.OnFull.ActionDescription,Tinder Lit!
NeedlesDry_FuelCapacity.OnFull.ActionDescription,Tinder Lit!
NeedlesDry_CardInteractions[0].ActionName*,Light with Iron Striker
WoodShavings_FuelCapacity.OnFull.ActionDescription,Tinder Lit!
WoodShavings_CardInteractions[0].ActionName*,Light with Iron Striker
Fibers_FuelCapacity.OnFull.ActionDescription,Tinder Lit!
Fibers_CardInteractions[0].ActionName*,Light with Iron Striker
StoneMortarAndPestle_CardName*,Stone Mortar and Pestle
LQ_RyeAle_CardName,Rye Ale,ライ麦のエール
LQ_RyeAle_CardDescription,"An alcoholic drink made from Rye. \n\nDrink in moderation!"
LQ_RyeAle_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_RyeAle_SpoilageTime.OnFull.ActionDescription,Ale Spoiled!
LQ_RyeAle_FuelCapacity.CardStatName,Liquid Temperature
LQ_RyeAle_FuelCapacity.OnFull.ActionName,Turn to broth
LQ_RyeAle_SpecialDurability1.CardStatName,Sweetness,甘さ
LQ_RyeAle_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_RyeAle_SpecialDurability3.CardStatName,Alcohol,アルコール
LQ_RyeAle_CardInteractions[0].ActionName,Add,入れる
LQ_RyeAle_DismantleActions[0].ActionName,Drink,飲む
LQ_RyeSyrup_CardName,Rye Syrup,ライ麦シロップ
LQ_RyeSyrup_CardDescription,Can be used to sweeten foods.
LQ_RyeSyrup_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_RyeSyrup_SpoilageTime.OnFull.ActionDescription,Rye Syrup Spoiled!
LQ_RyeSyrup_FuelCapacity.CardStatName,Liquid Temperature
LQ_RyeSyrup_FuelCapacity.OnFull.ActionName,Turn to broth
LQ_RyeSyrup_SpecialDurability1.CardStatName,Sweetness,甘さ
LQ_RyeSyrup_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_RyeSyrup_SpecialDurability3.CardStatName,Ale,エール
LQ_RyeSyrup_CardInteractions[0].ActionName,Add,入れる
LQ_RyeSyrup_DismantleActions[0].ActionName,Drink,飲む
LQ_RyeWort_CardName,Rye Wort
LQ_RyeWort_CardDescription,Can be fermented into Ale or Beer in a Fermenting container or reduced into Syrup by boiling away its water contents.
LQ_RyeWort_CardHelpSection,"Wort will ferment when in Fermenting containers, slowly converting sugar into alcohol."
LQ_RyeWort_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_RyeWort_SpoilageTime.OnFull.ActionDescription,Wort Spoiled!
LQ_RyeWort_FuelCapacity.CardStatName,Liquid Temperature
LQ_RyeWort_SpecialDurability1.CardStatName,Sweetness,甘さ
LQ_RyeWort_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_RyeWort_SpecialDurability3.CardStatName,Ale,エール
LQ_RyeWort_CardInteractions[0].ActionName,Add,入れる
LQ_RyeWort_DismantleActions[0].ActionName,Drink,飲む
AleBrewing_Completed_ObjectiveDescription,Ale Brewing,エール発酵中
AleBrewing_Completed_OnCompleteActions[0].ActionName,Completed,完了
AleBrewing_Completed_Event_CardName,Ale Brewing Complete
AleBrewing_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
AleBrewing_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
AleBrewing_DisplayConditions_ObjectiveDescription,Ale Brewing,エール発酵中
AleBrewing_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
AleBrewing_Main_QuestTitle,Ale Brewing,エール発酵中
AleBrewing_Obj1_HydrateRyeGrainsToStartTheMaltingProcess_ObjectiveDescription,Hydrate Rye Grains to start the Malting Process
AleBrewing_Obj2_DryTheGrainsIntoMaltedRye_ObjectiveDescription,Dry the grains into Malted Rye
AleBrewing_Obj3_MakeRyeWort_ObjectiveDescription,Make Rye Wort
AleBrewing_Obj4_FermentTheWortIntoAle_ObjectiveDescription,Ferment the Wort into Ale
AleBrewing_Sub1_HydrateRyeGrainsToStartTheMaltingProcess_QuestTitle,Hydrate Rye Grains to start the Malting Process
AleBrewing_Sub2_DryTheGrainsIntoMaltedRye_QuestTitle,Dry the grains into Malted Rye
AleBrewing_Sub3_MakeRyeWort_QuestTitle,Make Rye Wort
AleBrewing_Sub4_FermentTheWortIntoAle_QuestTitle,Ferment the Wort into Ale
BasicBaking_Completed_ObjectiveDescription,Basic Baking
BasicBaking_Completed_OnCompleteActions[0].ActionName,Completed,完了
BasicBaking_Completed_Event_CardName,Basic Baking Complete
BasicBaking_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
BasicBaking_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
BasicBaking_DisplayConditions_ObjectiveDescription,Basic Magic
BasicBaking_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
BasicBaking_Main_QuestTitle,Basic Baking
BasicBaking_Obj1_BoilSomeAcorns_ObjectiveDescription,Boil some Acorns
BasicBaking_Obj2_GrindAcornsIntoFlour_ObjectiveDescription,Grind Acorns into Flour
BasicBaking_Obj3_BakeSomeFlatbread_ObjectiveDescription,Bake some Flatbread
BasicBaking_Sub1_BoilSomeAcorns_QuestTitle,Boil some Acorns
BasicBaking_Sub2_GrindAcornsIntoFlour_QuestTitle,Grind Acorns into Flour
BasicBaking_Sub3_BakeSomeFlatbread_QuestTitle,Bake some Flatbread
BasicTrading_Completed_ObjectiveDescription,Basic Trading
BasicTrading_Completed_OnCompleteActions[0].ActionName,Completed,完了
BasicTrading_Completed_Event_CardName,Basic Trading Complete
BasicTrading_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
BasicTrading_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
BasicTrading_DisplayConditions_ObjectiveDescription,Basic Trading
BasicTrading_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
BasicTrading_Main_QuestTitle,Basic Trading
BasicTrading_Obj1_FindTheTrader_ObjectiveDescription,Find the Trader
BasicTrading_Obj2_BuySomeRye_ObjectiveDescription,Buy some Rye
BasicTrading_Obj3_MakeARequestFromTheTrader_ObjectiveDescription,Make a Request from the Trader
BasicTrading_Sub1_FindTheTrader_QuestTitle,Find the Trader
BasicTrading_Sub2_BuySomeRye_QuestTitle,Buy some Rye
BasicTrading_Sub3_MakeARequestFromTheTrader_QuestTitle,Make a Request from the Trader
IntermediateBaking_Completed_ObjectiveDescription,Intermediate Baking
IntermediateBaking_Completed_OnCompleteActions[0].ActionName,Completed,完了
IntermediateBaking_Completed_Event_CardName,Intermediate Baking Complete
IntermediateBaking_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
IntermediateBaking_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
IntermediateBaking_DisplayConditions_ObjectiveDescription,Intermediate Baking
IntermediateBaking_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
IntermediateBaking_Main_QuestTitle,Intermediate Baking
IntermediateBaking_Obj1_MakeSourDough_ObjectiveDescription,Make Sour Dough
IntermediateBaking_Obj2_BakeARoundBread_ObjectiveDescription,Bake a Roundbread
IntermediateBaking_Obj3_BakeABreadLoaf_ObjectiveDescription,Bake a Bread Loaf
IntermediateBaking_Sub1_MakeSourDough_QuestTitle,Make Sour Dough
IntermediateBaking_Sub2_BakeARoundBread_QuestTitle,Bake a Roundbread
IntermediateBaking_Sub3_BakeABreadLoaf_QuestTitle,Bake a Bread Loaf
Spice_RyeAle_SpiceName,Rye Ale,ライ麦のエール
Spice_RyeSyrup_SpiceName,Rye Syrup,ライ麦シロップ
Spice_RyeWort_SpiceName,Rye Wort
Spice_Salt_SpiceName,Salt,塩
Tab_1_Survival_Subtab_5_Cooking_TabName,Cooking,料理
tag_Soakable_InGameName,Boilable,茹でることが可能
tag_WaterSafe_InGameName,Water,水
TraderIntro_Intro_Line,The man seems surprised to see you.
TraderIntro_Intro_PossibleAnswers[0].Answer,Approach cautiously
TraderIntro_Intro_PossibleAnswers[1].Answer,Leave the man alone
TraderTalk_Intro_Line,The man smiles at you.
TraderTalk_Intro_PossibleAnswers[0].Answer,Let's trade
TraderTalk_Intro_PossibleAnswers[1].Answer,Say goodbye and leave
TraderTalk_Intro_PossibleAnswers[2].Answer,Ask specific questions
TraderTalk_Intro_PossibleAnswers[3].Answer,Make a request
TraderTalk_Trading Interests_Line,"He's interested in leather, pelts and fairyweed.\nUsually brings rye, vegetables, salt and some meat."
TraderTalk_Trader from the West_Line,He says he's a trader from a town far to the west. He crosses through the forest every year during spring and autumn.
TraderTalk_Happy to Trade_Line,He seems happy to trade.
TraderTalk_Bring Knife_Line,He says he will try to find a good knife and bring it on his next visit.
TraderTalk_Questions Hub_Line,The trader listens attentively.
TraderTalk_Questions Hub_PossibleAnswers[0].Answer,Ask about him
TraderTalk_Questions Hub_PossibleAnswers[1].Answer,Ask about trading interests
TraderTalk_Request Hub_Line,The trader listens attentively.
TraderTalk_Request Hub_PossibleAnswers[0].Answer,Change the subject
TraderTalk_Request Hub_PossibleAnswers[1].Answer,Request Food
TraderTalk_Request Hub_PossibleAnswers[3].Answer,Request a Metal Knife
TraderTalk_Request Hub_PossibleAnswers[4].Answer,Request a Fire Striker
TraderTalk_Request Hub_PossibleAnswers[5].Answer,Request a Mortar and Pestle
TraderTalk_Bring Fire Striker_Line,He says he will try to find a good fire striker and bring it on his next visit.
TraderTalk_Bring Mortar_Line,He says he will try to find a good mortar and pestle and bring it on his next visit.
TraderTalk_Bring Food_Line,He says he will try to bring additional food on his next visit.
TraderTalk_Bring Salt_Line,He says he will try to bring more salt on his next visit.
Agent_Trader_Dialogs[1].DialogName,Approach
Bp_WaterReservoir_CardName,Rain Cistern
Bp_WaterReservoir_CardDescription,A large water container for storing rainwater.
Bp_WaterReservoir_UnlockConditionsDesc,Needs Clay
WaterReservoir_CardName,Rain Cistern
WaterReservoir_CardDescription,A large water container for storing rainwater.
LeavesDry_CardInteractions[4].ActionName,Light with Iron Striker
Kiln_CookingRecipes[18].ActionName,Heats up Heatables
KilnExtinguished_CookingRecipes[15].ActionName,Heats up Heatables
Bp_Pouch_CardName,Pouch
Bp_Pouch_CardDescription,"A small leather container, ideal for preserving spices. "
Bp_Pouch_UnlockConditionsDesc,Leather Needed
Imp_PathEast_CardName,Path East
Imp_PathEast_CardDescription,Makes travelling East easier.
Imp_PathNorth_CardName,Path North
Imp_PathNorth_CardDescription,Makes travelling North easier.
Imp_PathNorthEast_CardName,Path Northeast
Imp_PathNorthEast_CardDescription,Makes travelling Northeast easier.
Imp_PathNorthWest_CardName,Path Northwest
Imp_PathNorthWest_CardDescription,Makes travelling Northwest easier.
Imp_PathSouth_CardName,Path South
Imp_PathSouth_CardDescription,Makes travelling South easier.
Imp_PathSouthEast_CardName,Path Southeast
Imp_PathSouthEast_CardDescription,Makes travelling Southeast easier.
Imp_PathSouthWest_CardName,Path Southwest
Imp_PathSouthWest_CardDescription,Makes travelling Southwest easier.
Imp_PathWest_CardName,Path West
Imp_PathWest_CardDescription,Makes travelling West easier.
ClearingPine_FlowerGlade_OnStatsChangeActions[3].ActionName,Create a meadowgrass  if it is missing
HeatherPatch_OnStatsChangeActions[0].ActionName,Backwards Compatibility Transform to Heather in flower glade
Pouch_CardName,Pouch
Pouch_CardDescription,"A small leather container, ideal for preserving powders. "
PouchTrader_CardName,Pouch
PouchTrader_CardDescription,"A small leather container, ideal for preserving powders. "
LQ_AppleweedPowder_CardName,Appleweed Powder
LQ_AppleweedPowder_CardDescription,"Boosts wellbeing, immune system, energy and appetite while reducing nausea and diarrhoea."
LQ_AppleweedPowder_CardHelpSection,"<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer."
LQ_AppleweedPowder_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_AppleweedPowder_SpoilageTime.OnFull.ActionDescription,Appleweed Spoiled!
LQ_AppleweedPowder_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_AppleweedPowder_CardInteractions[0].ActionName,Soak,浸す
LQ_AppleweedPowder_DismantleActions[0].ActionName,Take Out
LQ_AppleweedPowder_DismantleActions[1].ActionName,Take Out 10
LQ_FairyweedPowder_CardName,Fairyweed Powder
LQ_FairyweedPowder_CardDescription,"Lowers fever, pain, stress and wakefulness, while slightly altering your mind state."
LQ_FairyweedPowder_CardHelpSection,"<b>Found:</b> Oaken Groves.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Analgesic, Antipyretic, Sedative, Anxiolytic, Psychoactive."
LQ_FairyweedPowder_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_FairyweedPowder_SpoilageTime.OnFull.ActionDescription,Fairyweed Spoiled!
LQ_FairyweedPowder_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_FairyweedPowder_CardInteractions[0].ActionName,Soak,浸す
LQ_FairyweedPowder_DismantleActions[0].ActionName,Take Out
LQ_FairyweedPowder_DismantleActions[1].ActionName,Take Out 10
LQ_FirerootPowder_CardName,Fireroot Powder
LQ_FirerootPowder_CardDescription,"Increases body temperature, boosts immune system, stamina and alertness. Slightly toxic.\n\nCan be used to flavour meals."
LQ_FirerootPowder_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide."
LQ_FirerootPowder_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_FirerootPowder_SpoilageTime.OnFull.ActionDescription,Fireroot Spoiled!
LQ_FirerootPowder_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_FirerootPowder_CardInteractions[0].ActionName,Add,入れる
LQ_FirerootPowder_CardInteractions[1].ActionName,Soak,浸す
LQ_FirerootPowder_DismantleActions[0].ActionName,Take Out
LQ_FirerootPowder_DismantleActions[1].ActionName,Take Out 10
LQ_FlyAgaricPowder_CardName,Fly Agaric Powder
LQ_FlyAgaricPowder_CardDescription,Powder capable of inducing altered mind states.
LQ_FlyAgaricPowder_CardHelpSection,"<b>Found:</b> Pine areas.\n\n<b>Growth Needs:</b> High Acidity, Mid Hydration, Low Nutrients and presence of Pine Trees. \n\n<b>Benefits:</b> Psychoactive, Gastrointestinal Irritant."
LQ_FlyAgaricPowder_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_FlyAgaricPowder_SpoilageTime.OnFull.ActionDescription,Fly Agaric Powder Spoiled!
LQ_FlyAgaricPowder_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_FlyAgaricPowder_CardInteractions[0].ActionName,Soak,浸す
LQ_FlyAgaricPowder_DismantleActions[0].ActionName,Take Out
LQ_FlyAgaricPowder_DismantleActions[1].ActionName,Take Out 10
LQ_FrostleafPowder_CardName,Frostleaf Powder
LQ_FrostleafPowder_CardDescription,"Has a cool refreshing aroma. Alleviates inflamation and provides a mild numbing effect against pain and headaches. \n\nCan be used to flavour meals."
LQ_FrostleafPowder_CardHelpSection,"<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory."
LQ_FrostleafPowder_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_FrostleafPowder_SpoilageTime.OnFull.ActionDescription,Frostleaf Spoiled!
LQ_FrostleafPowder_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_FrostleafPowder_CardInteractions[0].ActionName,Add,入れる
LQ_FrostleafPowder_CardInteractions[1].ActionName,Soak,浸す
LQ_FrostleafPowder_DismantleActions[0].ActionName,Take Out
LQ_FrostleafPowder_DismantleActions[1].ActionName,Take Out 10
LQ_HeatherFlowersPowder_CardName,Heather Flowers Powder
LQ_HeatherFlowersPowder_CardDescription,"Can be made into a tea that can help alleviate respiratory infections.\n"
LQ_HeatherFlowersPowder_CardHelpSection,"<b>Found:</b> Pine Clearings.\n\n<b>Growth Needs:</b> High Acidity, Low to Mid Hydration, Low to Mid Nutrients.\n\n<b>Benefits:</b> Mild Stimulant, Expectorant\n."
LQ_HeatherFlowersPowder_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_HeatherFlowersPowder_SpoilageTime.OnFull.ActionDescription,Heather Powder Spoiled!
LQ_HeatherFlowersPowder_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_HeatherFlowersPowder_CardInteractions[0].ActionName,Soak,浸す
LQ_HeatherFlowersPowder_DismantleActions[0].ActionName,Take Out
LQ_HeatherFlowersPowder_DismantleActions[1].ActionName,Take Out 10
LQ_SacredWater_FuelCapacity.CardStatName,Liquid Temperature
LQ_SacredWater_FuelCapacity.OnFull.ActionDescription,Unsafe water has boiled!
LQ_Salt_CardName,Salt,塩
LQ_Salt_CardInteractions[0].ActionName,Add,入れる
LQ_Salt_DismantleActions[0].ActionName,Take Out
LQ_Salt_DismantleActions[1].ActionName,Take Out 10
LQ_SpiritMushroomsPowder_CardName,Spirit Mushrooms Powder
LQ_SpiritMushroomsPowder_CardDescription,Edible mushrooms capable of inducing altered mind states.
LQ_SpiritMushroomsPowder_CardHelpSection,"<b>Found:</b> Oak clearings.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Psychoactive."
LQ_SpiritMushroomsPowder_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_SpiritMushroomsPowder_SpoilageTime.OnFull.ActionDescription,Spirit Mushroom Spoiled!
LQ_SpiritMushroomsPowder_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_SpiritMushroomsPowder_CardInteractions[0].ActionName,Soak,浸す
LQ_SpiritMushroomsPowder_DismantleActions[0].ActionName,Take Out
LQ_SpiritMushroomsPowder_DismantleActions[1].ActionName,Take Out 10
LQ_WildGarlicPowder_CardName,Wild Garlic Powder
LQ_WildGarlicPowder_CardDescription,"Edible powder with an intense flavour and immune system boosting properties.\n\nCan be used to flavour meals."
LQ_WildGarlicPowder_CardHelpSection,"<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water."
LQ_WildGarlicPowder_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_WildGarlicPowder_SpoilageTime.OnFull.ActionDescription,Garlic Spoiled!
LQ_WildGarlicPowder_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_WildGarlicPowder_CardInteractions[0].ActionName,Add,入れる
LQ_WildGarlicPowder_CardInteractions[1].ActionName,Soak,浸す
LQ_WildGarlicPowder_DismantleActions[0].ActionName,Take Out
LQ_WildGarlicPowder_DismantleActions[1].ActionName,Take Out 10
LQ_WillowbarkPowder_CardName,Willow Bark Powder
LQ_WillowbarkPowder_CardDescription,"Lowers fever, pain and stress when made into a tea."
LQ_WillowbarkPowder_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_WillowbarkPowder_SpoilageTime.OnFull.ActionDescription,Bark Spoiled!
LQ_WillowbarkPowder_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_WillowbarkPowder_CardInteractions[0].ActionName,Soak,浸す
LQ_WillowbarkPowder_DismantleActions[0].ActionName,Take Out
LQ_WillowbarkPowder_DismantleActions[1].ActionName,Take Out 10
LQ_WolfsbanePowder_CardName,Wolfsbane Powder
LQ_WolfsbanePowder_CardDescription,"Poisonous plant ideal for weapon coatings. Handle with Gloves if possible. \n"
LQ_WolfsbanePowder_CardHelpSection,"<b>Found:</b> Shady Bank. Greenfalls. \n\n<b>Growth Needs:</b> Mid Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Poison. "
LQ_WolfsbanePowder_SpoilageTime.CardStatName,Spoilage,腐敗
LQ_WolfsbanePowder_SpoilageTime.OnFull.ActionDescription,Wolfsbane Spoiled!
LQ_WolfsbanePowder_SpecialDurability2.CardStatName,Quality,クオリティ
LQ_WolfsbanePowder_CardInteractions[0].ActionName,Add,入れる
LQ_WolfsbanePowder_DismantleActions[0].ActionName,Take Out
LQ_WolfsbanePowder_DismantleActions[1].ActionName,Take Out 10
TravoisPenalty_GameName,Travois Penalty
TravoisPenalty_Description,Prevents movement actions if you are holding more than 1 travois. 
TravoisPenalty_Statuses[0].GameName,Can't move with multiple travois
